food_name,energy_kcal ,fat_g,saturates_g,carbohydrate_g,sugars_g,starch_g,fibre_g,protein_g,salt_g
"Beans, haricot, whole, dried, boiled in unsalted water",105,0.5,0.10,15.1,0.8,14.4,6.8,6.6,0.04
"Beans, haricot, whole, dried, raw",304,1.6,0.30,41.5,2.7,38.8,19.0,21.4,0.11
"Beans, mung, dahl, dried, boiled in unsalted water",103,0.4,0.10,13.3,0.5,12.8,7.7,7.8,0.01
"Beans, mung, dahl, dried, raw",317,1.1,0.30,38.6,1.5,37.2,22.5,26.8,0.03
"Beans, mung, whole, dried, boiled in unsalted water",111,0.7,0.18,14.4,0.4,14.0,6.1,8.6,0.00
"Beans, mung, whole, dried, raw",310,1.1,0.30,38.6,1.5,37.2,25.5,23.8,0.03
"Beans, papri, raw",56,0.3,0.06,4.0,1.8,2.2,7.7,5.4,0.00
"Beans, pigeon peas, dahl, dried, boiled in unsalted water",125,0.5,0.10,19.0,0.6,18.5,4.9,8.8,0.04
"Beans, pigeon peas, dahl, dried, raw",340,1.9,0.40,51.5,1.6,49.8,14.9,21.8,0.10
"Beans, pigeon peas, whole, dried, boiled in unsalted water",127,0.5,0.10,19.0,0.6,18.5,6.2,8.5,0.04
"Beans, pigeon peas, whole, dried, raw",336,1.9,0.40,51.5,1.6,49.8,16.6,20.0,0.10
"Beans, pinto, dried, boiled in unsalted water",141,0.7,0.10,21.7,1.3,20.4,6.2,8.9,0.00
"Beans, pinto, dried, raw",336,1.6,0.20,51.9,1.0,48.9,14.8,21.1,0.03
"Beans, pinto, re-fried beans",103,1.1,0.10,13.9,0.9,13.0,6.4,6.3,1.05
"Beans, red kidney, canned in water, re-heated, drained",112,1.0,0.20,13.8,0.8,13.0,6.8,8.6,0.00
"Beans, red kidney, dried, boiled in unsalted water",120,1.0,0.20,13.8,0.8,13.0,11.1,8.6,0.00
"Beans, red kidney, dried, raw",314,1.4,0.20,40.3,2.4,34.5,26.0,22.1,0.05
"Beans, runner, boiled in unsalted water",21,0.5,0.10,1.9,1.6,0.3,2.2,1.1,0.00
"Beans, runner, raw",27,0.4,0.10,3.1,2.8,0.4,2.3,1.6,0.00
"Beans, soya, dried, boiled in unsalted water",153,7.3,0.90,4.9,2.1,1.7,6.1,14.0,0.00
"Beans, soya, dried, raw",401,18.6,2.30,14.7,5.3,4.4,15.7,35.9,0.01
"Beans, sword, raw",46,0.3,0.06,7.2,5.8,1.4,2.0,2.6,0.07
"Beansprouts, mung, boiled in unsalted water",28,0.5,0.10,2.7,1.4,1.3,1.3,2.5,0.01
"Beansprouts, mung, raw",35,0.5,0.10,3.8,2.2,1.6,1.5,2.9,0.01
