food_code,units,rse_indicator,years,amount
Malt bread and fruit loaves,g,High,2021,8.0
Vienna and french bread,g,Medium,2021,25.0
Starch reduced bread and rolls,g,High,2021,2.0
Other breads,g,Low,2021,94.0
Sandwiches,g,High,2021,12.0
Sandwiches from takeaway,g,High,2021,3.0
Takeaway breads,g,High,2021,1.0
Flour,g,High,2021,84.0
"Cakes, buns and pastries",g,Low,2021,158.0
"Buns, scones and teacakes",g,Low,2021,57.0
Cakes and pastries,g,Low,2021,100.0
"Cakes and pastries, not frozen",g,Low,2021,99.0
Takeaway pastries,g,High,2021,1.0
Biscuits and crispbreads,g,Low,2021,165.0
Crispbread,g,Medium,2021,6.0
Biscuits other than chocolate,g,Low,2021,97.0
Sweet biscuits (not chocolate) and cereal bars,g,Low,2021,81.0
Cream crackers and other unsweetened biscuits,g,Medium,2021,16.0
Chocolate biscuits,g,Low,2021,62.0
Other cereals and cereal products,g,Very Low,2021,619.0
Oatmeal and oat products,g,Medium,2021,27.0
Breakfast cereals,g,Low,2021,125.0
Muesli,g,Medium,2021,24.0
High fibre breakfast cereals,g,Medium,2021,46.0
Sweetened breakfast cereals,g,Medium,2021,29.0
Other breakfast cereals,g,Medium,2021,26.0
Canned milk puddings,g,Medium,2021,22.0
Canned or fresh carton custard,g,Medium,2021,15.0
All canned milk puddings,g,High,2021,7.0
Puddings,g,High,2021,7.0
Rice,g,Medium,2021,101.0
Dried rice,g,High,2021,66.0
Cooked rice,g,Medium,2021,26.0
Takeaway rice,g,Medium,2021,9.0
"Invalid foods, slimming foods and sports foods",g,Very High,2021,6.0
Infant cereal foods,g,Very High,2021,2.0
Cakes and pastries - frozen,g,High,2021,7.0
Pasta,g,Low,2021,104.0
Canned pasta,g,High,2021,15.0
Dried and fresh pasta,g,Medium,2021,88.0
Takeaway pasta and noodles,g,Very High,2021,1.0
Pizza,g,Low,2021,87.0
"Pizzas, frozen and not frozen",g,Medium,2021,67.0
Takeaway pizza,g,High,2021,20.0
Other cereal convenience foods,g,Low,2021,123.0
"Cake, pudding and dessert mixes",g,High,2021,8.0
Cereal snacks,g,Medium,2021,29.0
"Quiches and flans, frozen and not frozen",g,High,2021,12.0
"Takeaway crisps, savoury snacks, popcorn, popadums, prawn crackers",g,Very High,2021,1.0
"Other cereal foods, frozen and not frozen",g,Low,2021,73.0
Other cereals,g,Very High,2021,8.0
Beverages,g,Low,2021,60.0
Tea,g,Medium,2021,23.0
Coffee beans and ground coffee,g,Medium,2021,16.0
Instant coffee,g,Medium,2021,13.0
Coffee essences,ml,Very High,2021,0.0
Tea and coffee from takeaway,ml,Very High,2021,2.0
Cocoa and chocolate drinks,g,High,2021,6.0
Malt drinks and chocolate versions of malted drinks,g,Very High,2021,1.0
Other food and drink,g,Medium,2021,897.0
Mineral or spring waters,ml,High,2021,355.0
Baby foods,g,Very High,2021,4.0
Soups - canned or cartons,g,Medium,2021,76.0
Soups - dehydrated or powdered,g,Very High,2021,2.0
Soups - from takeaway,g,Very High,2021,0.0
Other takeaway food brought home,g,Very High,2021,0.0
Meals on wheels - items not specified,g,Very High,2021,0.0
Spreads and dressings,g,Low,2021,55.0
Salad dressings,g,Low,2021,41.0
Other spreads and dresssings,g,High,2021,15.0
Pickles and sauces,g,Low,2021,148.0
Pickles,g,High,2021,16.0
Sauces,g,Low,2021,131.0
Takeaway sauces and mayonnnaise,g,High,2021,1.0
Stock cubes and meat and yeast extracts,g,High,2021,5.0
Jelly squares or crystals,g,High,2021,6.0
Ice cream tub or block,ml,Medium,2021,115.0
Ice cream products including takeaways,ml,Medium,2021,107.0
"Ice cream cornets, choc-ices, lollies with ice cream",ml,Medium,2021,62.0
"Ice lollies, sorbet, frozen mousse, frozen yoghurt",ml,High,2021,44.0
"Takeaway ice cream, ice cream products, milkshakes",ml,Very High,2021,1.0
Salt,g,High,2021,10.0
Soya and novel protein foods,g,High,2021,14.0
Soft drinks,ml,Low,2021,1812.0
"Soft drinks, concentrated, not low calorie [note 10]",ml,High,2021,245.0
"Soft drinks, not concentrated,  not low calorie",ml,Medium,2021,393.0
"Soft drinks, concentrated, low calorie [note 10]",ml,Medium,2021,504.0
"Soft drinks, not concentrated, low calorie",ml,Medium,2021,669.0
Confectionery,g,Low,2021,171.0
Chocolate bars - solid,g,Low,2021,55.0
Chocolate bars - filled,g,Low,2021,56.0
Chewing gum,g,High,2021,1.0
Mints and boiled sweets,g,Low,2021,53.0
Mints,g,High,2021,2.0
Boiled sweets,g,Low,2021,51.0
"Fudges, toffees, caramels",g,High,2021,5.0
Takeaway confectionery,g,Very High,2021,0.0
Alcoholic drinks,ml,Medium,2021,876.0
Beers,ml,High,2021,153.0
Lagers and continental beers,ml,Medium,2021,307.0
Ciders and perry,ml,High,2021,82.0
Wine and champagne,ml,Medium,2021,268.0
"Champagne, sparkling wines and wine with mixer",ml,High,2021,24.0
Table wine,ml,Medium,2021,244.0
Spirits with mixer,ml,Very High,2021,6.0
Fortified wines,ml,Very High,2021,6.0
Spirits,ml,Medium,2021,40.0
Liqueurs and cocktails,ml,High,2021,10.0
Alcopops,ml,Very High,2021,4.0
,,,2021,
Milk and milk products excluding cheese,ml,Very Low,2022,1635.0
"Liquid wholemilk, including school and welfare",ml,Medium,2022,254.0
"Liquid wholemilk, full price",ml,Medium,2022,254.0
UHT milk,ml,Very High,2022,2.0
Sterilised,ml,,2022,0.0
Pasteurised/ homogenised,ml,Medium,2022,252.0
School milk ,ml,,2022,
Welfare milk,ml,,2022,
Other milk and cream,ml,Low,2022,1381.0
Skimmed milks,ml,Low,2022,929.0
Fully skimmed milk,ml,Medium,2022,127.0
Semi-skimmed milk,ml,Low,2022,801.0
Condensed or evaporated milk,eq ml,High,2022,11.0
Infant milks,eq ml,Very High,2022,21.0
Infant or baby milks - ready to drink,eq ml,Very High,2022,2.0
Infant or baby milks - dried,eq ml,Very High,2022,19.0
Instant dried milk,eq ml,Very High,2022,27.0
Yoghurt and fromage frais,ml,Low,2022,189.0
Yoghurt,ml,Low,2022,181.0
Fromage frais,ml,High,2022,8.0
Other milks and dairy desserts,ml,Medium,2022,175.0
Dairy desserts - not frozen,ml,Medium,2022,31.0
Dried milk products,ml,Very High,2022,0.0
Milk drinks and other milks ,ml,High,2022,35.0
Non-dairy milk substitutes ,ml,Medium,2022,109.0
Cream,ml,Medium,2022,29.0
Cheese,g,Low,2022,135.0
Natural cheese,g,Low,2022,123.0
Hard cheese - cheddar type,g,Low,2022,70.0
Hard cheese - other uk or foreign equivalent,g,High,2022,9.0
Hard cheese - edam or other foreign,g,Medium,2022,11.0
Cottage cheese,g,High,2022,4.0
Soft natural cheese,g,Medium,2022,30.0
Processed cheese,g,Medium,2022,11.0
Carcase meat,g,Low,2022,146.0
Beef and veal,g,Low,2022,86.0
Beef joints - on the bone,g,Very High,2022,1.0
Beef joints - boned,g,High,2022,14.0
Beef steak - less expensive,g,Medium,2022,16.0
Beef steak - more expensive,g,High,2022,13.0
Minced beef,g,Medium,2022,42.0
All other beef and veal,g,Very High,2022,0.0
Mutton and lamb,g,High,2022,21.0
Mutton,g,Very High,2022,1.0
Lamb joints,g,Very High,2022,10.0
Lamb chops,g,High,2022,6.0
All other lamb,g,Very High,2022,4.0
Pork,g,Medium,2022,39.0
Pork joints,g,High,2022,15.0
Pork chops,g,High,2022,4.0
Pork fillets and steaks,g,High,2022,11.0
All other pork,g,High,2022,9.0
Non-carcase meat and meat products,g,Very Low,2022,708.0
Liver,g,Very High,2022,4.0
Ox liver,g,Very High,2022,0.0
Lambs liver,g,Very High,2022,1.0
Pigs liver,g,Very High,2022,2.0
All other liver,g,Very High,2022,1.0
All offal other than liver,g,Very High,2022,1.0
"Bacon and ham, uncooked",g,Medium,2022,48.0
"Bacon and ham joints, uncooked",g,High,2022,14.0
"Bacon and ham rashers, uncooked",g,Low,2022,34.0
"Bacon and ham, cooked",g,Low,2022,35.0
Cooked poultry not purchased in cans,g,Medium,2022,27.0
"Chicken and turkey, cooked",g,Medium,2022,23.0
Takeaway chicken,g,High,2022,4.0
"Corned beef, canned or sliced",g,Medium,2022,6.0
Other cooked meat,g,Medium,2022,12.0
Other canned meat and canned meat products,g,High,2022,16.0
"Chicken, uncooked - whole chicken or chicken pieces",g,Low,2022,195.0
"Other poultry, uncooked (including frozen)",g,High,2022,11.0
"Turkey, uncooked - whole turkey or turkey pieces",g,High,2022,9.0
"Poultry other than chicken or turkey, uncooked",g,Very High,2022,2.0
"Other fresh, chilled and frozen meat",g,Very High,2022,3.0
"Sausages, uncooked - pork",g,Low,2022,49.0
"Sausages, uncooked - beef and other sausages",g,High,2022,3.0
"Meat pies and sausage rolls, ready to eat",g,Medium,2022,21.0
"Meat pies, ready to eat",g,Medium,2022,11.0
"Sausage rolls, ready to eat",g,Medium,2022,10.0
"Meat pies, pasties and puddings, frozen or not frozen",g,Medium,2022,36.0
"Burgers, frozen or not frozen",g,Medium,2022,20.0
Ready meals and convenience meat products,g,Low,2022,175.0
"Complete meat-based ready meals, frozen or not frozen",g,Medium,2022,89.0
"Other convenience meat products, frozen or not frozen",g,Medium,2022,86.0
Pate and delicatessen type sausage,g,Medium,2022,18.0
Pate,g,High,2022,3.0
Delicatessen type sausages,g,Medium,2022,15.0
Meat pastes and spreads,g,Very High,2022,1.0
Takeaway meats,g,Medium,2022,27.0
Takeaway meat pies and pasties,g,Very High,2022,1.0
Takeaway burger and bun,g,High,2022,5.0
Takeaway kebabs,g,High,2022,4.0
Takeaway sausages and saveloys,g,High,2022,1.0
Takeaway meat based meals,g,Medium,2022,17.0
Takeaway miscellaneous meats,g,Very High,2022,0.0
Fish,g,Low,2022,135.0
"White fish, fresh, chilled or frozen",g,High,2022,16.0
"White fish, fresh or chilled",g,High,2022,10.0
"White fish, frozen",g,Very High,2022,6.0
"Herrings and other blue fish, fresh, chilled or frozen",g,High,2022,2.0
"Herrings and other blue fish, fresh or chilled",g,Very High,2022,1.0
"Herrings and other blue fish, frozen",g,Very High,2022,0.0
"Salmon, fresh, chilled or frozen",g,Medium,2022,18.0
"Salmon, fresh or chilled",g,Medium,2022,17.0
"Salmon, frozen",g,Very High,2022,1.0
"Blue fish, dried or salted or smoked",g,High,2022,6.0
"White fish, dried, salted or smoked",g,Very High,2022,2.0
Shellfish,g,High,2022,9.0
"Shellfish, fresh or chilled",g,High,2022,6.0
"Shellfish, frozen",g,High,2022,4.0
Takeaway fish,g,High,2022,3.0
"Salmon, tinned",g,Very High,2022,1.0
Other tinned or bottled fish,g,Medium,2022,22.0
Ready meals and other fish products - frozen or not frozen,g,Medium,2022,52.0
Takeaway fish meals and fish products,g,High,2022,3.0
Takeaway fish products,g,Very High,2022,0.0
Takeaway fish based meals,g,Very High,2022,2.0
Eggs,no.,Low,2022,2.0
Fats,g,Low,2022,139.0
Butter,g,Medium,2022,32.0
Margarine,g,Medium,2022,28.0
Soft margarine,g,Medium,2022,27.0
Other margarine,g,Very High,2022,2.0
"Lard, cooking fat",g,Very High,2022,1.0
Vegetable and salad oils,ml,High,2022,49.0
Olive oil,ml,High,2022,15.0
Other vegetable and salad oils,ml,High,2022,34.0
All other fats,g,Medium,2022,28.0
Reduced fat spreads,g,Medium,2022,17.0
Low fat spreads,g,Very High,2022,5.0
Suet and dripping,g,Very High,2022,1.0
Imitatation cream,g,High,2022,5.0
Sugar and preserves,g,Medium,2022,83.0
Sugar,g,Medium,2022,53.0
Jams and fruit curds,g,Medium,2022,12.0
Marmalade,g,High,2022,5.0
"Syrup, treacle",g,High,2022,5.0
Honey,g,Medium,2022,8.0
"fruit and vegetables, including potatoes",g,Low,2022,2657.0
"vegetables, including potatoes",g,Very Low,2022,1631.0
fresh and processed potatoes,g,Low,2022,552.0
Fresh potatoes,g,Low,2022,317.0
Fresh new potatoes ,g,Medium,2022,39.0
Fresh baking potatoes ,g,Medium,2022,53.0
Other fresh potatoes,g,Medium,2022,225.0
processed potatoes,g,Low,2022,235.0
Chips and takeaway chips,g,Low,2022,116.0
Chips - frozen or not frozen,g,Low,2022,98.0
Takeaway chips,g,Medium,2022,18.0
Instant potato,g,Very High,2022,0.0
Canned potatoes,g,Very High,2022,2.0
Crisps and potato snacks,g,Low,2022,66.0
"Other potato products, frozen or not frozen",g,Medium,2022,51.0
Fresh green vegetables,g,Low,2022,188.0
Fresh cabbages,g,Medium,2022,42.0
Fresh brussels sprouts,g,High,2022,9.0
Fresh cauliflower,g,Medium,2022,58.0
Leafy salads fresh,g,Low,2022,50.0
Lettuce and leafy salads,g,Medium,2022,33.0
Prepared lettuce salads,g,Medium,2022,17.0
Fresh peas,g,High,2022,3.0
Fresh beans,g,Medium,2022,14.0
Other fresh green vegetables,g,Medium,2022,13.0
Other fresh vegetables,g,Low,2022,543.0
Fresh carrots,g,Low,2022,95.0
Fresh turnips and swede,g,High,2022,8.0
Other fresh root vegetables,g,Medium,2022,47.0
"Fresh onions, leeks and shallots",g,Low,2022,93.0
Fresh cucumbers,g,Low,2022,53.0
Fresh mushrooms,g,Low,2022,35.0
Fresh tomatoes,g,Low,2022,77.0
Miscellaneous fresh vegtables,g,Low,2022,133.0
"Fresh vegetable stewpack, stirfry pack etc.",g,High,2022,20.0
Fresh stem vegetables,g,Medium,2022,26.0
"Fresh marrow, courgettes, aubergine, pumpkin and other vegetables",g,Medium,2022,81.0
Fresh herbs,g,Medium,2022,6.0
"Tomatoes, canned or bottled",g,Medium,2022,54.0
"Peas, canned",g,Medium,2022,10.0
Beans canned,g,Medium,2022,99.0
Baked beans in sauce,g,Medium,2022,73.0
Other canned beans and pulses,g,Medium,2022,27.0
Other canned vegetables,g,Medium,2022,17.0
Dried pulses other than air-dried,g,Very High,2022,12.0
Air-dried vegetables,g,Very High,2022,0.0
Vegetable juices and purees,ml,High,2022,7.0
Tomato puree and vegetable purees,ml,Medium,2022,5.0
"Vegetable juices eg tomato juice, carrot juice",ml,Very High,2022,2.0
"Peas, frozen",g,Medium,2022,25.0
"Beans, frozen",g,Very High,2022,2.0
Ready meals and other vegetable products (inc takeaways),g,Low,2022,86.0
"Ready meals and other vegetable products, frozen or not frozen",g,Low,2022,80.0
All vegetable takeaway products,g,High,2022,6.0
Other frozen vegetables,g,Medium,2022,35.0
Fresh and processed fruit,g,Low,2022,1026.0
Fresh fruit,g,Low,2022,715.0
Fresh oranges,g,Medium,2022,43.0
Other fresh citrus fruits,g,Low,2022,77.0
Fresh apples,g,Low,2022,117.0
Fresh pears,g,Medium,2022,26.0
Fresh stone fruit,g,Medium,2022,56.0
Fresh grapes,g,Low,2022,61.0
Other fresh soft fruit,g,Low,2022,69.0
Fresh bananas,g,Low,2022,186.0
Fresh melons,g,High,2022,47.0
Other fresh fruit,g,Medium,2022,35.0
Processed fruit and fruit products,g,Low,2022,311.0
"Tinned peaches, pears and pineapples",g,High,2022,8.0
All other tinned or bottled fruit,g,High,2022,15.0
Dried fruit,g,High,2022,17.0
"Frozen strawberries, apple slices, peach halves, oranges and other frozen fruits",g,High,2022,11.0
"Nuts, edible seeds and peanut butter",g,Medium,2022,40.0
Nuts and edible seeds,g,Medium,2022,32.0
Peanut butter,g,High,2022,8.0
Pure fruit juices [note 8],ml,Medium,2022,221.0
Bread,g,Very Low,2022,465.0
white bread,g,Low,2022,173.0
"White bread, standard, unsliced",g,High,2022,14.0
"White bread, standard, sliced",g,Low,2022,149.0
"White bread, premium, sliced and unsliced",g,High,2022,3.0
"White bread, soft grain, sliced and unsliced",g,High,2022,7.0
Brown and wholemeal bread,g,Low,2022,119.0
"Brown bread, sliced and unsliced",g,High,2022,24.0
"Wholemeal and granary bread, sliced and unsliced",g,Medium,2022,95.0
Total other bread,g,Low,2022,173.0
"Rolls - white, brown or wholemeal",g,Medium,2022,42.0
Malt bread and fruit loaves,g,High,2022,7.0
Vienna and french bread,g,Medium,2022,22.0
Starch reduced bread and rolls,g,High,2022,3.0
Other breads,g,Low,2022,79.0
Sandwiches,g,High,2022,17.0
Sandwiches from takeaway,g,High,2022,2.0
Takeaway breads,g,High,2022,1.0
Flour,g,High,2022,56.0
"Cakes, buns and pastries",g,Low,2022,165.0
"Buns, scones and teacakes",g,Low,2022,59.0
Cakes and pastries,g,Low,2022,107.0
"Cakes and pastries, not frozen",g,Low,2022,105.0
Takeaway pastries,g,High,2022,2.0
Biscuits and crispbreads,g,Low,2022,162.0
Crispbread,g,Medium,2022,5.0
Biscuits other than chocolate,g,Low,2022,98.0
Sweet biscuits (not chocolate) and cereal bars,g,Low,2022,82.0
Cream crackers and other unsweetened biscuits,g,Medium,2022,15.0
Chocolate biscuits,g,Low,2022,59.0
Other cereals and cereal products,g,Very Low,2022,551.0
Oatmeal and oat products,g,Medium,2022,28.0
Breakfast cereals,g,Low,2022,117.0
Muesli,g,Medium,2022,21.0
High fibre breakfast cereals,g,Medium,2022,45.0
Sweetened breakfast cereals,g,Medium,2022,29.0
Other breakfast cereals,g,Medium,2022,22.0
Canned milk puddings,g,Medium,2022,21.0
Canned or fresh carton custard,g,Medium,2022,15.0
All canned milk puddings,g,High,2022,7.0
Puddings,g,High,2022,8.0
Rice,g,Medium,2022,79.0
Dried rice,g,High,2022,46.0
Cooked rice,g,Medium,2022,26.0
Takeaway rice,g,Medium,2022,7.0
"Invalid foods, slimming foods and sports foods",g,Very High,2022,10.0
Infant cereal foods,g,Very High,2022,1.0
Cakes and pastries - frozen,g,High,2022,6.0
Pasta,g,Low,2022,86.0
Canned pasta,g,High,2022,12.0
Dried and fresh pasta,g,Medium,2022,73.0
Takeaway pasta and noodles,g,Very High,2022,1.0
Pizza,g,Low,2022,76.0
"Pizzas, frozen and not frozen",g,Medium,2022,62.0
Takeaway pizza,g,High,2022,14.0
Other cereal convenience foods,g,Low,2022,106.0
"Cake, pudding and dessert mixes",g,High,2022,5.0
Cereal snacks,g,Medium,2022,27.0
"Quiches and flans, frozen and not frozen",g,High,2022,11.0
"Takeaway crisps, savoury snacks, popcorn, popadums, prawn crackers",g,Very High,2022,0.0
"Other cereal foods, frozen and not frozen",g,Low,2022,64.0
Other cereals,g,Very High,2022,11.0
Beverages,g,Low,2022,57.0
Tea,g,Medium,2022,22.0
Coffee beans and ground coffee,g,Medium,2022,15.0
Instant coffee,g,Medium,2022,12.0
Coffee essences,ml,Very High,2022,1.0
Tea and coffee from takeaway,ml,Very High,2022,1.0
Cocoa and chocolate drinks,g,High,2022,5.0
Malt drinks and chocolate versions of malted drinks,g,Very High,2022,1.0
Other food and drink,g,Medium,2022,857.0
Mineral or spring waters,ml,High,2022,394.0
Baby foods,g,Very High,2022,5.0
Soups - canned or cartons,g,Medium,2022,56.0
Soups - dehydrated or powdered,g,Very High,2022,2.0
Soups - from takeaway,g,Very High,2022,0.0
Other takeaway food brought home,g,Very High,2022,0.0
Meals on wheels - items not specified,g,Very High,2022,0.0
Spreads and dressings,g,Low,2022,48.0
Salad dressings,g,Low,2022,39.0
Other spreads and dresssings,g,High,2022,9.0
Pickles and sauces,g,Low,2022,127.0
Pickles,g,High,2022,13.0
Sauces,g,Low,2022,114.0
Takeaway sauces and mayonnnaise,g,High,2022,0.0
Stock cubes and meat and yeast extracts,g,High,2022,4.0
Jelly squares or crystals,g,High,2022,7.0
Ice cream tub or block,ml,Medium,2022,87.0
Ice cream products including takeaways,ml,Medium,2022,106.0
"Ice cream cornets, choc-ices, lollies with ice cream",ml,Medium,2022,54.0
"Ice lollies, sorbet, frozen mousse, frozen yoghurt",ml,High,2022,50.0
"Takeaway ice cream, ice cream products, milkshakes",ml,Very High,2022,3.0
Salt,g,High,2022,6.0
Soya and novel protein foods,g,High,2022,13.0
Soft drinks,ml,Low,2022,1670.0
"Soft drinks, concentrated, not low calorie [note 10]",ml,High,2022,302.0
"Soft drinks, not concentrated,  not low calorie",ml,Medium,2022,399.0
"Soft drinks, concentrated, low calorie [note 10]",ml,Medium,2022,396.0
"Soft drinks, not concentrated, low calorie",ml,Medium,2022,573.0
Confectionery,g,Low,2022,144.0
Chocolate bars - solid,g,Low,2022,47.0
Chocolate bars - filled,g,Low,2022,49.0
Chewing gum,g,High,2022,1.0
Mints and boiled sweets,g,Low,2022,43.0
Mints,g,High,2022,2.0
Boiled sweets,g,Low,2022,42.0
"Fudges, toffees, caramels",g,High,2022,4.0
Takeaway confectionery,g,Very High,2022,0.0
Alcoholic drinks,ml,Medium,2022,703.0
Beers,ml,High,2022,112.0
Lagers and continental beers,ml,Medium,2022,248.0
Ciders and perry,ml,High,2022,69.0
Wine and champagne,ml,Medium,2022,209.0
"Champagne, sparkling wines and wine with mixer",ml,High,2022,22.0
Table wine,ml,Medium,2022,187.0
Spirits with mixer,ml,Very High,2022,5.0
Fortified wines,ml,Very High,2022,5.0
Spirits,ml,Medium,2022,40.0
Liqueurs and cocktails,ml,High,2022,10.0
Alcopops,ml,Very High,2022,4.0
,,,2022,
Milk and milk products excluding cheese,ml,Very Low,2023,1533.0
"Liquid wholemilk, including school and welfare",ml,Medium,2023,295.0
"Liquid wholemilk, full price",ml,Medium,2023,295.0
UHT milk,ml,Very High,2023,5.0
Sterilised,ml,,2023,
Pasteurised/ homogenised,ml,Medium,2023,290.0
School milk ,ml,,2023,
Welfare milk,ml,,2023,
Other milk and cream,ml,Low,2023,1238.0
Skimmed milks,ml,Low,2023,822.0
Fully skimmed milk,ml,Medium,2023,112.0
Semi-skimmed milk,ml,Low,2023,711.0
Condensed or evaporated milk,eq ml,High,2023,18.0
Infant milks,eq ml,Very High,2023,23.0
Infant or baby milks - ready to drink,eq ml,Very High,2023,1.0
Infant or baby milks - dried,eq ml,Very High,2023,22.0
Instant dried milk,eq ml,Very High,2023,6.0
Yoghurt and fromage frais,ml,Low,2023,168.0
Yoghurt,ml,Low,2023,160.0
Fromage frais,ml,High,2023,8.0
Other milks and dairy desserts,ml,Medium,2023,174.0
Dairy desserts - not frozen,ml,Medium,2023,33.0
Dried milk products,ml,Very High,2023,0.0
Milk drinks and other milks ,ml,High,2023,31.0
Non-dairy milk substitutes ,ml,Medium,2023,110.0
Cream,ml,Medium,2023,26.0
Cheese,g,Low,2023,127.0
Natural cheese,g,Low,2023,115.0
Hard cheese - cheddar type,g,Low,2023,68.0
Hard cheese - other uk or foreign equivalent,g,High,2023,7.0
Hard cheese - edam or other foreign,g,Medium,2023,9.0
Cottage cheese,g,High,2023,3.0
Soft natural cheese,g,Medium,2023,29.0
Processed cheese,g,Medium,2023,12.0
Carcase meat,g,Low,2023,145.0
Beef and veal,g,Low,2023,85.0
Beef joints - on the bone,g,Very High,2023,1.0
Beef joints - boned,g,High,2023,15.0
Beef steak - less expensive,g,Medium,2023,13.0
Beef steak - more expensive,g,High,2023,11.0
Minced beef,g,Medium,2023,45.0
All other beef and veal,g,Very High,2023,1.0
Mutton and lamb,g,High,2023,22.0
Mutton,g,Very High,2023,1.0
Lamb joints,g,Very High,2023,13.0
Lamb chops,g,High,2023,5.0
All other lamb,g,Very High,2023,4.0
Pork,g,Medium,2023,37.0
Pork joints,g,High,2023,12.0
Pork chops,g,High,2023,4.0
Pork fillets and steaks,g,High,2023,11.0
All other pork,g,High,2023,9.0
Non-carcase meat and meat products,g,Very Low,2023,712.0
Liver,g,Very High,2023,2.0
Ox liver,g,Very High,2023,0.0
Lambs liver,g,Very High,2023,1.0
Pigs liver,g,Very High,2023,1.0
All other liver,g,Very High,2023,0.0
All offal other than liver,g,Very High,2023,2.0
"Bacon and ham, uncooked",g,Medium,2023,59.0
"Bacon and ham joints, uncooked",g,High,2023,21.0
"Bacon and ham rashers, uncooked",g,Low,2023,37.0
"Bacon and ham, cooked",g,Low,2023,33.0
Cooked poultry not purchased in cans,g,Medium,2023,28.0
"Chicken and turkey, cooked",g,Medium,2023,22.0
Takeaway chicken,g,High,2023,6.0
"Corned beef, canned or sliced",g,Medium,2023,6.0
Other cooked meat,g,Medium,2023,11.0
Other canned meat and canned meat products,g,High,2023,17.0
"Chicken, uncooked - whole chicken or chicken pieces",g,Low,2023,193.0
"Other poultry, uncooked (including frozen)",g,High,2023,13.0
"Turkey, uncooked - whole turkey or turkey pieces",g,High,2023,11.0
"Poultry other than chicken or turkey, uncooked",g,Very High,2023,2.0
"Other fresh, chilled and frozen meat",g,Very High,2023,1.0
"Sausages, uncooked - pork",g,Low,2023,51.0
"Sausages, uncooked - beef and other sausages",g,High,2023,8.0
"Meat pies and sausage rolls, ready to eat",g,Medium,2023,19.0
"Meat pies, ready to eat",g,Medium,2023,9.0
"Sausage rolls, ready to eat",g,Medium,2023,10.0
"Meat pies, pasties and puddings, frozen or not frozen",g,Medium,2023,37.0
"Burgers, frozen or not frozen",g,Medium,2023,20.0
Ready meals and convenience meat products,g,Low,2023,168.0
"Complete meat-based ready meals, frozen or not frozen",g,Medium,2023,83.0
"Other convenience meat products, frozen or not frozen",g,Medium,2023,85.0
Pate and delicatessen type sausage,g,Medium,2023,16.0
Pate,g,High,2023,3.0
Delicatessen type sausages,g,Medium,2023,13.0
Meat pastes and spreads,g,Very High,2023,1.0
Takeaway meats,g,Medium,2023,29.0
Takeaway meat pies and pasties,g,Very High,2023,1.0
Takeaway burger and bun,g,High,2023,4.0
Takeaway kebabs,g,High,2023,6.0
Takeaway sausages and saveloys,g,High,2023,1.0
Takeaway meat based meals,g,Medium,2023,17.0
Takeaway miscellaneous meats,g,Very High,2023,0.0
Fish,g,Low,2023,126.0
"White fish, fresh, chilled or frozen",g,High,2023,15.0
"White fish, fresh or chilled",g,High,2023,10.0
"White fish, frozen",g,Very High,2023,5.0
"Herrings and other blue fish, fresh, chilled or frozen",g,High,2023,2.0
"Herrings and other blue fish, fresh or chilled",g,Very High,2023,1.0
"Herrings and other blue fish, frozen",g,Very High,2023,0.0
"Salmon, fresh, chilled or frozen",g,Medium,2023,15.0
"Salmon, fresh or chilled",g,Medium,2023,14.0
"Salmon, frozen",g,Very High,2023,1.0
"Blue fish, dried or salted or smoked",g,High,2023,5.0
"White fish, dried, salted or smoked",g,Very High,2023,1.0
Shellfish,g,High,2023,11.0
"Shellfish, fresh or chilled",g,High,2023,6.0
"Shellfish, frozen",g,High,2023,5.0
Takeaway fish,g,High,2023,4.0
"Salmon, tinned",g,Very High,2023,1.0
Other tinned or bottled fish,g,Medium,2023,20.0
Ready meals and other fish products - frozen or not frozen,g,Medium,2023,51.0
Takeaway fish meals and fish products,g,High,2023,2.0
Takeaway fish products,g,Very High,2023,0.0
Takeaway fish based meals,g,Very High,2023,2.0
Eggs,no.,Low,2023,2.0
Fats,g,Low,2023,153.0
Butter,g,Medium,2023,34.0
Margarine,g,Medium,2023,33.0
Soft margarine,g,Medium,2023,31.0
Other margarine,g,Very High,2023,3.0
"Lard, cooking fat",g,Very High,2023,1.0
Vegetable and salad oils,ml,High,2023,57.0
Olive oil,ml,High,2023,16.0
Other vegetable and salad oils,ml,High,2023,41.0
All other fats,g,Medium,2023,28.0
Reduced fat spreads,g,Medium,2023,16.0
Low fat spreads,g,Very High,2023,5.0
Suet and dripping,g,Very High,2023,1.0
Imitatation cream,g,High,2023,5.0
Sugar and preserves,g,Medium,2023,78.0
Sugar,g,Medium,2023,51.0
Jams and fruit curds,g,Medium,2023,10.0
Marmalade,g,High,2023,6.0
"Syrup, treacle",g,High,2023,4.0
Honey,g,Medium,2023,7.0
"fruit and vegetables, including potatoes",g,Low,2023,2588.0
"vegetables, including potatoes",g,Very Low,2023,1639.0
fresh and processed potatoes,g,Low,2023,578.0
Fresh potatoes,g,Low,2023,336.0
Fresh new potatoes ,g,Medium,2023,49.0
Fresh baking potatoes ,g,Medium,2023,65.0
Other fresh potatoes,g,Medium,2023,222.0
processed potatoes,g,Low,2023,242.0
Chips and takeaway chips,g,Low,2023,128.0
Chips - frozen or not frozen,g,Low,2023,108.0
Takeaway chips,g,Medium,2023,21.0
