food_code,units,rse_indicator,years,amount
High fibre breakfast cereals,g,Medium,2000,50.0
Sweetened breakfast cereals,g,Medium,2000,39.0
Other breakfast cereals,g,Medium,2000,29.0
Canned milk puddings,g,Medium,2000,30.0
Canned or fresh carton custard,g,Medium,2000,15.0
All canned milk puddings,g,High,2000,15.0
Puddings,g,High,2000,7.0
Rice,g,Medium,2000,69.0
Dried rice,g,High,2000,54.0
Cooked rice,g,Medium,2000,1.0
Takeaway rice,g,Medium,2000,13.0
"Invalid foods, slimming foods and sports foods",g,Very High,2000,1.0
Infant cereal foods,g,Very High,2000,2.0
Cakes and pastries - frozen,g,High,2000,18.0
Pasta,g,Low,2000,73.0
Canned pasta,g,High,2000,30.0
Dried and fresh pasta,g,Medium,2000,43.0
Takeaway pasta and noodles,g,Very High,2000,
Pizza,g,Low,2000,57.0
"Pizzas, frozen and not frozen",g,Medium,2000,44.0
Takeaway pizza,g,High,2000,13.0
Other cereal convenience foods,g,Low,2000,62.0
"Cake, pudding and dessert mixes",g,High,2000,4.0
Cereal snacks,g,Medium,2000,14.0
"Quiches and flans, frozen and not frozen",g,High,2000,11.0
"Takeaway crisps, savoury snacks, popcorn, popadums, prawn crackers",g,Very High,2000,2.0
"Other cereal foods, frozen and not frozen",g,Low,2000,31.0
Other cereals,g,Very High,2000,3.0
Beverages,g,Low,2000,70.0
Tea,g,Medium,2000,36.0
Coffee beans and ground coffee,g,Medium,2000,4.0
Instant coffee,g,Medium,2000,12.0
Coffee essences,ml,Very High,2000,0.0
Tea and coffee from takeaway,ml,Very High,2000,
Cocoa and chocolate drinks,g,High,2000,9.0
Malt drinks and chocolate versions of malted drinks,g,Very High,2000,9.0
Other food and drink,g,Medium,2000,584.0
Mineral or spring waters,ml,High,2000,204.0
Baby foods,g,Very High,2000,7.0
Soups - canned or cartons,g,Medium,2000,72.0
Soups - dehydrated or powdered,g,Very High,2000,3.0
Soups - from takeaway,g,Very High,2000,
Other takeaway food brought home,g,Very High,2000,
Meals on wheels - items not specified,g,Very High,2000,
Spreads and dressings,g,Low,2000,24.0
Salad dressings,g,Low,2000,22.0
Other spreads and dresssings,g,High,2000,2.0
Pickles and sauces,g,Low,2000,126.0
Pickles,g,High,2000,15.0
Sauces,g,Low,2000,106.0
Takeaway sauces and mayonnnaise,g,High,2000,5.0
Stock cubes and meat and yeast extracts,g,High,2000,5.0
Jelly squares or crystals,g,High,2000,3.0
Ice cream tub or block,ml,Medium,2000,70.0
Ice cream products including takeaways,ml,Medium,2000,55.0
"Ice cream cornets, choc-ices, lollies with ice cream",ml,Medium,2000,43.0
"Ice lollies, sorbet, frozen mousse, frozen yoghurt",ml,High,2000,12.0
"Takeaway ice cream, ice cream products, milkshakes",ml,Very High,2000,
Salt,g,High,2000,9.0
Soya and novel protein foods,g,High,2000,5.0
Soft drinks,ml,Low,2000,1699.0
"Soft drinks, concentrated, not low calorie [note 10]",ml,High,2000,613.0
"Soft drinks, not concentrated,  not low calorie",ml,Medium,2000,571.0
"Soft drinks, concentrated, low calorie [note 10]",ml,Medium,2000,187.0
"Soft drinks, not concentrated, low calorie",ml,Medium,2000,329.0
Confectionery,g,Low,2000,151.0
Chocolate bars - solid,g,Low,2000,33.0
Chocolate bars - filled,g,Low,2000,80.0
Chewing gum,g,High,2000,1.0
Mints and boiled sweets,g,Low,2000,31.0
Mints,g,High,2000,5.0
Boiled sweets,g,Low,2000,26.0
"Fudges, toffees, caramels",g,High,2000,5.0
Takeaway confectionery,g,Very High,2000,
Alcoholic drinks,ml,Medium,2000,725.0
Beers,ml,High,2000,124.0
Lagers and continental beers,ml,Medium,2000,264.0
Ciders and perry,ml,High,2000,58.0
Wine and champagne,ml,Medium,2000,216.0
"Champagne, sparkling wines and wine with mixer",ml,High,2000,5.0
Table wine,ml,Medium,2000,211.0
Spirits with mixer,ml,Very High,2000,2.0
Fortified wines,ml,Very High,2000,16.0
Spirits,ml,Medium,2000,32.0
Liqueurs and cocktails,ml,High,2000,3.0
Alcopops,ml,Very High,2000,10.0
,,,2000,
Milk and milk products excluding cheese,ml,Very Low,2001,2033.0
"Liquid wholemilk, including school and welfare",ml,Medium,2001,609.0
"Liquid wholemilk, full price",ml,Medium,2001,599.0
UHT milk,ml,Very High,2001,8.0
Sterilised,ml,,2001,26.0
Pasteurised/ homogenised,ml,Medium,2001,565.0
School milk ,ml,,2001,
Welfare milk,ml,,2001,10.0
Other milk and cream,ml,Low,2001,1424.0
Skimmed milks,ml,Low,2001,1091.0
Fully skimmed milk,ml,Medium,2001,160.0
Semi-skimmed milk,ml,Low,2001,931.0
Condensed or evaporated milk,eq ml,High,2001,20.0
Infant milks,eq ml,Very High,2001,44.0
Infant or baby milks - ready to drink,eq ml,Very High,2001,1.0
Infant or baby milks - dried,eq ml,Very High,2001,43.0
Instant dried milk,eq ml,Very High,2001,18.0
Yoghurt and fromage frais,ml,Low,2001,154.0
Yoghurt,ml,Low,2001,137.0
Fromage frais,ml,High,2001,17.0
Other milks and dairy desserts,ml,Medium,2001,78.0
Dairy desserts - not frozen,ml,Medium,2001,41.0
Dried milk products,ml,Very High,2001,5.0
Milk drinks and other milks ,ml,High,2001,32.0
Non-dairy milk substitutes ,ml,Medium,2001,
Cream,ml,Medium,2001,20.0
Cheese,g,Low,2001,112.0
Natural cheese,g,Low,2001,100.0
Hard cheese - cheddar type,g,Low,2001,63.0
Hard cheese - other uk or foreign equivalent,g,High,2001,13.0
Hard cheese - edam or other foreign,g,Medium,2001,7.0
Cottage cheese,g,High,2001,6.0
Soft natural cheese,g,Medium,2001,10.0
Processed cheese,g,Medium,2001,12.0
Carcase meat,g,Low,2001,229.0
Beef and veal,g,Low,2001,118.0
Beef joints - on the bone,g,Very High,2001,3.0
Beef joints - boned,g,High,2001,29.0
Beef steak - less expensive,g,Medium,2001,16.0
Beef steak - more expensive,g,High,2001,24.0
Minced beef,g,Medium,2001,45.0
All other beef and veal,g,Very High,2001,2.0
Mutton and lamb,g,High,2001,51.0
Mutton,g,Very High,2001,1.0
Lamb joints,g,Very High,2001,28.0
Lamb chops,g,High,2001,15.0
All other lamb,g,Very High,2001,7.0
Pork,g,Medium,2001,61.0
Pork joints,g,High,2001,21.0
Pork chops,g,High,2001,21.0
Pork fillets and steaks,g,High,2001,14.0
All other pork,g,High,2001,4.0
Non-carcase meat and meat products,g,Very Low,2001,812.0
Liver,g,Very High,2001,4.0
Ox liver,g,Very High,2001,0.0
Lambs liver,g,Very High,2001,2.0
Pigs liver,g,Very High,2001,1.0
All other liver,g,Very High,2001,1.0
All offal other than liver,g,Very High,2001,3.0
"Bacon and ham, uncooked",g,Medium,2001,68.0
"Bacon and ham joints, uncooked",g,High,2001,18.0
"Bacon and ham rashers, uncooked",g,Low,2001,49.0
"Bacon and ham, cooked",g,Low,2001,45.0
Cooked poultry not purchased in cans,g,Medium,2001,44.0
"Chicken and turkey, cooked",g,Medium,2001,39.0
Takeaway chicken,g,High,2001,5.0
"Corned beef, canned or sliced",g,Medium,2001,12.0
Other cooked meat,g,Medium,2001,10.0
Other canned meat and canned meat products,g,High,2001,32.0
"Chicken, uncooked - whole chicken or chicken pieces",g,Low,2001,170.0
"Other poultry, uncooked (including frozen)",g,High,2001,35.0
"Turkey, uncooked - whole turkey or turkey pieces",g,High,2001,33.0
"Poultry other than chicken or turkey, uncooked",g,Very High,2001,3.0
"Other fresh, chilled and frozen meat",g,Very High,2001,2.0
"Sausages, uncooked - pork",g,Low,2001,54.0
"Sausages, uncooked - beef and other sausages",g,High,2001,12.0
"Meat pies and sausage rolls, ready to eat",g,Medium,2001,45.0
"Meat pies, ready to eat",g,Medium,2001,35.0
"Sausage rolls, ready to eat",g,Medium,2001,10.0
"Meat pies, pasties and puddings, frozen or not frozen",g,Medium,2001,35.0
"Burgers, frozen or not frozen",g,Medium,2001,23.0
Ready meals and convenience meat products,g,Low,2001,145.0
"Complete meat-based ready meals, frozen or not frozen",g,Medium,2001,88.0
"Other convenience meat products, frozen or not frozen",g,Medium,2001,57.0
Pate and delicatessen type sausage,g,Medium,2001,15.0
Pate,g,High,2001,3.0
Delicatessen type sausages,g,Medium,2001,11.0
Meat pastes and spreads,g,Very High,2001,2.0
Takeaway meats,g,Medium,2001,58.0
Takeaway meat pies and pasties,g,Very High,2001,3.0
Takeaway burger and bun,g,High,2001,6.0
Takeaway kebabs,g,High,2001,8.0
Takeaway sausages and saveloys,g,High,2001,2.0
Takeaway meat based meals,g,Medium,2001,37.0
Takeaway miscellaneous meats,g,Very High,2001,0.0
Fish,g,Low,2001,157.0
"White fish, fresh, chilled or frozen",g,High,2001,36.0
"White fish, fresh or chilled",g,High,2001,18.0
"White fish, frozen",g,Very High,2001,17.0
"Herrings and other blue fish, fresh, chilled or frozen",g,High,2001,6.0
"Herrings and other blue fish, fresh or chilled",g,Very High,2001,5.0
"Herrings and other blue fish, frozen",g,Very High,2001,1.0
"Salmon, fresh, chilled or frozen",g,Medium,2001,9.0
"Salmon, fresh or chilled",g,Medium,2001,9.0
"Salmon, frozen",g,Very High,2001,1.0
"Blue fish, dried or salted or smoked",g,High,2001,5.0
"White fish, dried, salted or smoked",g,Very High,2001,4.0
Shellfish,g,High,2001,10.0
"Shellfish, fresh or chilled",g,High,2001,3.0
"Shellfish, frozen",g,High,2001,7.0
Takeaway fish,g,High,2001,12.0
"Salmon, tinned",g,Very High,2001,6.0
Other tinned or bottled fish,g,Medium,2001,29.0
Ready meals and other fish products - frozen or not frozen,g,Medium,2001,36.0
Takeaway fish meals and fish products,g,High,2001,3.0
Takeaway fish products,g,Very High,2001,1.0
Takeaway fish based meals,g,Very High,2001,2.0
Eggs,no.,Low,2001,2.0
Fats,g,Low,2001,196.0
Butter,g,Medium,2001,41.0
Margarine,g,Medium,2001,13.0
Soft margarine,g,Medium,2001,12.0
Other margarine,g,Very High,2001,1.0
"Lard, cooking fat",g,Very High,2001,6.0
Vegetable and salad oils,ml,High,2001,58.0
Olive oil,ml,High,2001,8.0
Other vegetable and salad oils,ml,High,2001,49.0
All other fats,g,Medium,2001,79.0
Reduced fat spreads,g,Medium,2001,58.0
Low fat spreads,g,Very High,2001,14.0
Suet and dripping,g,Very High,2001,1.0
Imitatation cream,g,High,2001,5.0
Sugar and preserves,g,Medium,2001,147.0
Sugar,g,Medium,2001,112.0
Jams and fruit curds,g,Medium,2001,16.0
Marmalade,g,High,2001,11.0
"Syrup, treacle",g,High,2001,3.0
Honey,g,Medium,2001,5.0
"fruit and vegetables, including potatoes",g,Low,2001,3163.0
"vegetables, including potatoes",g,Very Low,2001,2006.0
fresh and processed potatoes,g,Low,2001,912.0
Fresh potatoes,g,Low,2001,647.0
Fresh new potatoes ,g,Medium,2001,288.0
Fresh baking potatoes ,g,Medium,2001,130.0
Other fresh potatoes,g,Medium,2001,230.0
processed potatoes,g,Low,2001,266.0
Chips and takeaway chips,g,Low,2001,152.0
Chips - frozen or not frozen,g,Low,2001,105.0
Takeaway chips,g,Medium,2001,47.0
Instant potato,g,Very High,2001,2.0
Canned potatoes,g,Very High,2001,8.0
Crisps and potato snacks,g,Low,2001,59.0
"Other potato products, frozen or not frozen",g,Medium,2001,45.0
Fresh green vegetables,g,Low,2001,229.0
Fresh cabbages,g,Medium,2001,47.0
Fresh brussels sprouts,g,High,2001,15.0
Fresh cauliflower,g,Medium,2001,73.0
Leafy salads fresh,g,Low,2001,63.0
Lettuce and leafy salads,g,Medium,2001,63.0
Prepared lettuce salads,g,Medium,2001,
Fresh peas,g,High,2001,5.0
Fresh beans,g,Medium,2001,22.0
Other fresh green vegetables,g,Medium,2001,4.0
Other fresh vegetables,g,Low,2001,502.0
Fresh carrots,g,Low,2001,102.0
Fresh turnips and swede,g,High,2001,23.0
Other fresh root vegetables,g,Medium,2001,25.0
"Fresh onions, leeks and shallots",g,Low,2001,98.0
Fresh cucumbers,g,Low,2001,37.0
Fresh mushrooms,g,Low,2001,37.0
Fresh tomatoes,g,Low,2001,97.0
Miscellaneous fresh vegtables,g,Low,2001,83.0
"Fresh vegetable stewpack, stirfry pack etc.",g,High,2001,13.0
Fresh stem vegetables,g,Medium,2001,22.0
"Fresh marrow, courgettes, aubergine, pumpkin and other vegetables",g,Medium,2001,44.0
Fresh herbs,g,Medium,2001,3.0
"Tomatoes, canned or bottled",g,Medium,2001,47.0
"Peas, canned",g,Medium,2001,32.0
Beans canned,g,Medium,2001,114.0
Baked beans in sauce,g,Medium,2001,102.0
Other canned beans and pulses,g,Medium,2001,12.0
Other canned vegetables,g,Medium,2001,24.0
Dried pulses other than air-dried,g,Very High,2001,4.0
Air-dried vegetables,g,Very High,2001,0.0
Vegetable juices and purees,ml,High,2001,9.0
Tomato puree and vegetable purees,ml,Medium,2001,5.0
"Vegetable juices eg tomato juice, carrot juice",ml,Very High,2001,4.0
"Peas, frozen",g,Medium,2001,29.0
"Beans, frozen",g,Very High,2001,6.0
Ready meals and other vegetable products (inc takeaways),g,Low,2001,60.0
"Ready meals and other vegetable products, frozen or not frozen",g,Low,2001,49.0
All vegetable takeaway products,g,High,2001,11.0
Other frozen vegetables,g,Medium,2001,36.0
Fresh and processed fruit,g,Low,2001,1157.0
Fresh fruit,g,Low,2001,750.0
Fresh oranges,g,Medium,2001,55.0
Other fresh citrus fruits,g,Low,2001,78.0
Fresh apples,g,Low,2001,175.0
Fresh pears,g,Medium,2001,39.0
Fresh stone fruit,g,Medium,2001,65.0
Fresh grapes,g,Low,2001,49.0
Other fresh soft fruit,g,Low,2001,26.0
Fresh bananas,g,Low,2001,203.0
Fresh melons,g,High,2001,38.0
